time,x_g,y_g,z_g
44,-0.03,0.25,1.07
553,-0.03,0.25,1.07
1063,-0.04,0.25,1.08
1573,-0.04,0.25,1.08
2083,-0.04,0.25,1.07
2593,-0.03,0.25,1.07
3103,0.47,0.05,0.81
3613,-0.12,-0.08,1.07
4123,-0.15,0.19,1.04
4633,0.74,0.70,0.65
5143,0.59,0.74,0.44
5654,-0.10,0.61,0.79
6164,-0.67,-0.58,0.63
6674,-0.33,-1.09,0.08
7184,-0.73,-0.97,0.42
7694,-0.68,0.17,1.34
8204,0.82,0.36,0.90
8714,0.91,0.60,0.28
9224,-0.36,0.50,0.98
9734,-0.64,-0.01,0.48
10244,-0.85,-0.15,-0.28
10754,-0.87,-0.77,0.10
11265,-1.03,-0.06,0.53
11776,0.16,0.53,0.92
12285,1.03,0.41,0.34
12795,0.69,0.24,0.45
13306,-0.85,0.09,0.92
13816,-0.68,-0.31,0.16
14326,-0.99,-0.56,-0.23
14836,-1.61,-1.11,0.25
15346,-0.32,-0.36,-0.78
15856,0.04,0.11,-0.82
16366,-1.01,0.19,0.59
16877,-0.04,0.28,1.04
17387,-0.01,0.15,1.03
17897,-0.17,0.30,1.08
18407,0.04,0.07,1.27
18917,-0.07,0.19,1.07
19427,-0.06,0.20,1.09
19937,-0.06,0.21,1.09
20447,-0.05,0.21,1.08
20957,-0.05,0.21,1.08
21467,-0.05,0.21,1.09
